stock_num,created,likes,sentiment,weekday,open,close
7,2023-08-31,45.76923076923077,0.10017943217172909,3.0,106.19000244140625,105.72000122070312
8,2023-08-28,12.5,0.15667733787593985,0.0,132.0800018310547,131.7899932861328
8,2023-08-29,33.5,-0.04492694805194806,1.0,132.9980010986328,135.49000549316406
8,2023-08-30,3.0,0.2,2.0,135.57000732421875,136.92999267578125
8,2023-08-31,1.0,0.13693980622552052,3.0,137.0500030517578,137.35000610351562
9,2023-08-29,2.0,0.14553571428571427,1.0,93.44999694824219,94.02999877929688
9,2023-08-30,1.5,0.07791666666666666,2.0,92.55000305175781,93.6500015258789
9,2023-08-31,1.5,-0.22976190476190478,3.0,92.9800033569336,92.9000015258789
11,2023-08-31,60.166666666666664,0.11612408810325478,3.0,540.0,549.280029296875
15,2023-08-29,18.6,0.16425075366063738,1.0,126.55000305175781,132.25
15,2023-08-30,8.0,0.08237574925074925,2.0,130.47000122070312,130.61000061035156
15,2023-08-31,6.214285714285714,0.043826839819216125,3.0,130.60000610351562,131.5500030517578
16,2023-08-30,2.875,0.07810564435564435,2.0,430.8500061035156,434.6700134277344
16,2023-08-31,1.1428571428571428,0.0575870954442383,3.0,431.2300109863281,433.67999267578125
2,2023-09-01,0.5,0.025000000000000005,4.0,331.30999755859375,328.6600036621094
